ENSG	HUGO	GAF	GENCODE
ENSG00000030582	GRN	GRN|2896	ENSG00000030582.16
ENSG00000031003	FAM13B	FAM13B|51306	ENSG00000031003.10
ENSG00000031081	ARHGAP31	ARHGAP31|57514	ENSG00000031081.10
ENSG00000031544	NR2E3	NR2E3|10002	ENSG00000278570.4
ENSG00000031691	CENPQ	CENPQ|55166	ENSG00000031691.6
ENSG00000031698	SARS	SARS|6301	ENSG00000031698.12
ENSG00000031823	RANBP3	RANBP3|8498	ENSG00000031823.14
ENSG00000032219	ARID4A	ARID4A|5926	ENSG00000032219.18
ENSG00000032389	TSSC1	TSSC1|7260	ENSG00000032389.12
ENSG00000032444	PNPLA6	PNPLA6|10908	ENSG00000032444.15
ENSG00000032742	IFT88	IFT88|8100	ENSG00000032742.17
ENSG00000033011	ALG1	ALG1|56052	ENSG00000033011.11
ENSG00000033030	ZCCHC8	ZCCHC8|55596	ENSG00000033030.13
ENSG00000033050	ABCF2	ABCF2|10061	ENSG00000033050.7
ENSG00000033100	CHPF2	CHPF2|54480	ENSG00000033100.14
ENSG00000033122	LRRC7	LRRC7|57554	ENSG00000033122.18
ENSG00000033170	FUT8	FUT8|2530	ENSG00000033170.16
ENSG00000033178	UBA6	UBA6|55236	ENSG00000033178.12
ENSG00000033327	GAB2	GAB2|9846	ENSG00000033327.12
ENSG00000033627	ATP6V0A1	ATP6V0A1|535	ENSG00000033627.14
ENSG00000033800	PIAS1	PIAS1|8554	ENSG00000033800.13
ENSG00000033867	SLC4A7	SLC4A7|9497	ENSG00000033867.16
ENSG00000034053	APBA2	APBA2|321	ENSG00000034053.14
ENSG00000034063	UHRF1	UHRF1|29128	ENSG00000276043.4
ENSG00000034152	MAP2K3	MAP2K3|5606	ENSG00000034152.18
ENSG00000034239	EFCAB1	EFCAB1|79645	ENSG00000034239.10
ENSG00000034510	TMSB10	TMSB10|9168	ENSG00000034510.5
ENSG00000034533	ASTE1	ASTE1|28990	ENSG00000034533.11
ENSG00000034677	RNF19A	RNF19A|25897	ENSG00000034677.11
ENSG00000034693	PEX3	PEX3|8504	ENSG00000034693.14
ENSG00000034713	GABARAPL2	GABARAPL2|11345	ENSG00000034713.7
ENSG00000034971	MYOC	MYOC|4653	ENSG00000034971.14
ENSG00000035115	SH3YL1	SH3YL1|26751	ENSG00000035115.21
ENSG00000035141	FAM136A	FAM136A|84908	ENSG00000035141.7
ENSG00000035403	VCL	VCL|7414	ENSG00000035403.16
ENSG00000035499	DEPDC1B	DEPDC1B|55789	ENSG00000035499.12
ENSG00000035664	DAPK2	DAPK2|23604	ENSG00000035664.11
ENSG00000035681	NSMAF	NSMAF|8439	ENSG00000035681.7
ENSG00000035687	ADSS	ADSS|159	ENSG00000035687.9
ENSG00000035720	STAP1	STAP1|26228	ENSG00000035720.7
ENSG00000035862	TIMP2	TIMP2|7077	ENSG00000035862.12
ENSG00000035928	RFC1	RFC1|5981	ENSG00000035928.14
ENSG00000036054	TBC1D23	TBC1D23|55773	ENSG00000036054.12
ENSG00000036257	CUL3	CUL3|8452	ENSG00000036257.12
